date,time,pick,conf,value,away,home,away_runs,home_runs,away_wp,home_wp,away_ml,home_ml,away_sp,home_sp,result
2026-04-13,6:40 PM ET,PIT,8,4,WSH,PIT,3.8,4.8,38.0,62.0,+189,-232,Cade Cavalli,Paul Skenes,
2026-04-13,9:40 PM ET,ATH,10,5,TEX,ATH,4.4,6.3,32.6,67.4,-131,+109,Nathan Eovaldi,Luis Severino,
2026-04-14,10:10 PM ET,LAD,8,8,NYM,LAD,4.3,5.7,35.9,64.1,+179,-179,Nolan McLean,Yoshinobu Yamamoto,
2026-04-14,6:40 PM ET,CHC,8,8,CHC,PHI,5.7,4.3,61.1,38.9,+119,-143,Riley Martin,Aaron Nola,
2026-04-14,6:40 PM ET,KC,9,4,KC,DET,5.0,3.8,60.8,39.2,+104,-126,Cole Ragans,Framber Valdez,
2026-04-14,6:40 PM ET,CIN,8,4,SF,CIN,4.0,5.1,37.6,62.4,-102,-118,Robbie Ray,Brady Singer,
2026-04-14,6:40 PM ET,PIT,9,9,WSH,PIT,4.5,6.4,32.9,67.1,+204,-204,PJ Poulin,Mitch Keller,
2026-04-14,7:40 PM ET,BOS,9,4,BOS,MIN,5.5,4.2,60.6,39.4,-136,+113,Sonny Gray,Mick Abel,
2026-04-14,7:40 PM ET,CWS,7,7,TB,CWS,3.9,5.0,37.3,62.7,+168,-168,Shane McClanahan,Noah Schultz,
2026-04-14,7:45 PM ET,CLE,10,5,CLE,STL,4.7,3.2,65.4,34.6,-115,-105,Joey Cantillo,Michael McGreevy,
2026-04-14,9:40 PM ET,ATH,8,8,TEX,ATH,3.3,5.1,29.6,70.4,+238,-238,MacKenzie Gore,Jeffrey Springs,
2026-04-15,10:10 PM ET,LAD,8,8,NYM,LAD,4.3,6.0,33.7,66.3,+184,-226,Clay Holmes,Shohei Ohtani,
2026-04-15,1:15 PM ET,CLE,8,8,CLE,STL,4.0,2.6,67.2,32.8,-205,+205,Slade Cecconi,Dustin May,
2026-04-15,1:40 PM ET,BOS,7,7,BOS,MIN,5.0,3.8,60.8,39.2,-131,+109,Connelly Early,Simeon Woods Richardson,
2026-04-15,6:40 PM ET,SF,8,8,SF,CIN,6.2,4.8,60.0,40.0,-115,-105,Tyler Mahle,Rhett Lowder,
2026-04-15,7:05 PM ET,LAA,8,8,LAA,NYY,6.9,5.4,59.5,40.5,+163,-199,Jack Kochanowicz,Luis Gil,
2026-04-15,7:40 PM ET,TB,7,7,TB,CWS,5.2,3.9,61.4,38.6,-159,+159,Jesse Scholtens,Sean Burke,
2026-04-15,9:40 PM ET,SEA,7,7,SEA,SD,5.3,4.1,60.0,40.0,-110,-110,Emerson Hancock,Randy Vásquez,
2026-04-16,1:10 PM ET,DET,9,9,KC,DET,4.0,5.9,31.4,68.6,+218,-218,Kris Bubic,Keider Montero,
2026-04-16,1:35 PM ET,NYY,7,7,LAA,NYY,3.5,4.7,35.3,64.7,+183,-183,Brent Suter,Max Fried,
2026-04-16,1:40 PM ET,TOR,9,9,TOR,MIL,4.9,3.1,68.3,31.7,-102,-118,Patrick Corbin,Brandon Sproat,
2026-04-16,6:10 PM ET,CLE,7,7,BAL,CLE,4.0,5.3,35.9,64.1,+113,-136,Shane Baz,Parker Messick,
2026-04-17,6:10 PM ET,CLE,8,8,BAL,CLE,4.7,6.3,35.4,64.6,+182,-182,Chris Bassitt,Tanner Bibee,
2026-04-17,6:40 PM ET,ATL,9,9,ATL,PHI,6.6,4.6,64.4,35.6,-108,-112,Martín Pérez,Taijuan Walker,
2026-04-17,6:45 PM ET,SF,7,7,SF,WSH,5.3,4.1,60.0,40.0,-156,+129,Logan Webb,Zack Littell,
2026-04-17,7:10 PM ET,MIA,7,7,MIL,MIA,4.2,5.5,36.4,63.6,-105,-115,Coleman Crow,Janson Junk,
2026-04-17,8:40 PM ET,LAD,7,7,LAD,COL,5.9,4.6,59.7,40.3,-308,+244,Tyler Glasnow,Tomoyuki Sugano,
2026-04-17,9:40 PM ET,TEX,8,8,TEX,SEA,6.3,4.6,62.5,37.5,+113,-136,Jacob deGrom,Logan Gilbert,
